p,d,t
2,2,7.191e-05
2,2,2.9359e-05
2,2,1.4875e-05
2,2,1.4843e-05
2,2,1.4881e-05
2,4,1.2503e-05
2,4,1.1859e-05
2,4,1.1255e-05
2,4,9.149e-06
2,4,7.893e-06
2,6,7.316e-06
2,6,7.282e-06
2,6,6.928e-06
2,6,7.205e-06
2,6,1.077e-05
2,8,1.1595e-05
2,8,9.218e-06
2,8,6.655e-06
2,8,5.446e-06
2,8,9.037e-06
2,10,1.2572e-05
2,10,8.884e-06
2,10,7.029e-06
2,10,8.943e-06
2,10,0.000119749
2,12,1.2271e-05
2,12,1.5111e-05
2,12,1.5336e-05
2,12,1.4531e-05
2,12,1.1788e-05
2,14,1.3539e-05
2,14,1.3055e-05
2,14,1.0224e-05
2,14,7.956e-06
2,14,7.205e-06
2,16,7.856e-06
2,16,6.879e-06
2,16,9.239e-06
2,16,8.63e-06
2,16,1.0118e-05
2,18,1.8083e-05
2,18,6.452e-06
2,18,6.198e-06
2,18,6.134e-06
2,18,6.144e-06
2,20,7.217e-06
2,20,6.643e-06
2,20,6.952e-06
2,20,1.7084e-05
2,20,7.151e-06
2,22,7.539e-06
2,22,1.0533e-05
2,22,9.566e-06
2,22,1.6415e-05
2,22,1.0797e-05
2,24,2.1435e-05
2,24,7.211e-06
2,24,7.314e-06
2,24,6.691e-06
2,24,1.1032e-05
2,26,2.5955e-05
2,26,8.126e-06
2,26,1.1949e-05
2,26,8.011e-06
2,26,1.3323e-05
2,28,1.0094e-05
2,28,7.857e-06
2,28,7.506e-06
2,28,7.591e-06
2,28,2.1599e-05
2,30,1.5039e-05
2,30,1.1444e-05
2,30,8.252e-06
2,30,8.075e-06
2,30,8.024e-06
2,32,3.4055e-05
2,32,1.2452e-05
2,32,1.1228e-05
2,32,1.14e-05
2,32,1.1383e-05
2,34,1.4056e-05
2,34,1.3117e-05
2,34,1.5781e-05
2,34,1.2855e-05
2,34,1.2624e-05
2,36,1.4798e-05
2,36,1.3488e-05
2,36,1.3575e-05
2,36,1.3177e-05
2,36,1.3118e-05
2,38,1.4471e-05
2,38,1.3573e-05
2,38,1.334e-05
2,38,1.3519e-05
2,38,1.3733e-05
2,40,1.4528e-05
2,40,1.4263e-05
2,40,1.4262e-05
2,40,1.3603e-05
2,40,1.4202e-05
2,42,1.5653e-05
2,42,1.4646e-05
2,42,1.4681e-05
2,42,1.4461e-05
2,42,1.4477e-05
2,44,1.8235e-05
2,44,1.5051e-05
2,44,1.5302e-05
2,44,1.5166e-05
2,44,1.4962e-05
2,46,1.624e-05
2,46,1.6294e-05
2,46,1.0402e-05
2,46,9.99e-06
2,46,9.82e-06
2,48,2.2888e-05
2,48,1.6603e-05
2,48,1.6601e-05
2,48,1.6374e-05
2,48,1.6385e-05
2,50,2.3618e-05
2,50,1.7151e-05
2,50,1.7009e-05
2,50,1.7017e-05
2,50,1.7218e-05
2,52,1.8663e-05
2,52,1.8136e-05
2,52,1.762e-05
2,52,1.7778e-05
2,52,2.1111e-05
2,54,2.6007e-05
2,54,1.9628e-05
2,54,1.8605e-05
2,54,1.8735e-05
2,54,1.9569e-05
2,56,2.2864e-05
2,56,1.9329e-05
2,56,2.1435e-05
2,56,2.1881e-05
2,56,1.99e-05
2,58,3.4569e-05
2,58,4.1365e-05
2,58,3.0239e-05
2,58,2.6943e-05
2,58,2.8371e-05
